CODE	GEOG	AREA	Bungalow1	Bungalow2	Bungalow3	Bungalow3plus	Bungalow4plus	BungalowZ	Flat_Mais1	Flat_Mais2	Flat_Mais3	Flat_Mais3plus	Flat_Mais4plus	Flat_MaisZ	House_Terraced1	House_Terraced2	House_Terraced3	House_Terraced3plus	House_Terraced4plus	House_TerracedZ	House_Semi1	House_Semi2	House_Semi3	House_Semi3plus	House_Semi4plus	House_SemiZ	House_Detached1	House_Detached2	House_Detached3	House_Detached3plus	House_Detached4plus	House_DetachedZ	Annexe	Other	UNKNOWN	Year
E01033626	LSOA	Birmingham 134D	0	0	0	0	0	0	150	370	10	10	0	0	0	0	40	60	20	0	0	10	10	10	0	0	0	0	0	0	0	0	0	0	0	2014
E01033640	LSOA	Birmingham 134E	0	0	0	0	0	0	140	230	130	130	0	0	0	20	30	50	20	0	0	10	10	20	10	0	0	0	0	0	0	0	0	0	10	2014
E02006896	MSOA	Birmingham 135	0	0	0	0	0	0	1400	1560	50	70	20	0	0	10	70	90	20	0	0	0	10	60	50	0	0	0	0	10	10	0	0	0	50	2014
E01009378	LSOA	Birmingham 135A	0	0	0	0	0	0	360	490	20	30	10	0	0	10	70	90	20	0	0	0	10	60	50	0	0	0	0	10	10	0	0	0	40	2014
E01033567	LSOA	Birmingham 135B	0	0	0	0	0	0	450	290	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014
E01033615	LSOA	Birmingham 135C	0	0	0	0	0	0	290	330	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014
E01033616	LSOA	Birmingham 135D	0	0	0	0	0	0	300	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014
E02006897	MSOA	Birmingham 136	10	0	0	0	0	0	1860	880	410	540	130	0	0	30	90	180	90	0	0	10	10	10	0	0	0	0	0	0	0	0	0	0	40	2014
E01009143	LSOA	Birmingham 136A	10	0	0	0	0	0	250	160	150	150	0	0	0	10	20	80	60	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	2014
E01009146	LSOA	Birmingham 136B	0	0	0	0	0	0	840	200	60	190	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2014
E01033564	LSOA	Birmingham 136C	0	0	0	0	0	0	520	230	20	20	0	0	0	0	10	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	2014
E01033639	LSOA	Birmingham 136D	0	0	0	0	0	0	260	280	180	180	0	0	0	30	60	90	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014
E02006898	MSOA	Birmingham 137	40	0	0	0	0	0	1260	1610	210	210	0	0	0	70	220	270	50	0	0	10	20	30	10	0	0	0	0	0	0	0	0	10	20	2014
E01009141	LSOA	Birmingham 137A	0	0	0	0	0	0	210	360	120	120	0	0	0	0	70	100	30	0	0	10	10	10	0	0	0	0	0	0	0	0	0	0	20	2014
E01033565	LSOA	Birmingham 137B	0	0	0	0	0	0	330	310	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014
E01033618	LSOA	Birmingham 137C	0	0	0	0	0	0	350	400	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2014
